STATE,COMPANY,CITY,NUMBER_OF_WORKERS,WARN_RECEIVED_DATE,EFFECTIVE_DATE,CLOSURE_LAYOFF,LAYOFFDURATION,REGION,COUNTY,INDUSTRY
North Carolina,Ryder,Hill,91,2025-12-01 00:00:00,2026-01-30 00:00:00,closure,permanent,Northern,Scotland,Transportation & Warehousing
California,"Ovations FanFare, L.P. dba OVG Hospitality",E Alma,90,2025-12-01 00:00:00,2026-02-01 00:00:00,layoff,temporary,Northern,Santa Clara County,Accommodation & Food Services
Florida,Roads Express LLC,Tampa,84,2025-12-01 00:00:00,2025-12-01 00:00:00,closure,permanent,Northern,Tampa County,Transportation & Warehousing
South Carolina,SC Industrial Holdings (dba Palmetto State Armory),Columbia,78,2025-12-01 00:00:00,2026-01-30 00:00:00,closure,temporary,Northern,Lexington,Public Administration / Nonprofit
Virginia,"10 Roads Express, LLC",Harrisonburg,70,2025-12-01 00:00:00,2026-01-30 00:00:00,closure,permanent,South Central,Harrisonburg County,Professional Services
Iowa,"Bauer Built Manufacturing, Inc",Paton,62,2025-12-01 00:00:00,2025-12-31 00:00:00,closure,temporary,Iowa,Greene,Manufacturing
California,Waldorf Astoria Employer LLC dba Waldorf Astoria Beverly Hills,Wilshire,57,2025-12-01 00:00:00,2026-02-02 00:00:00,layoff,temporary,Northern,Los Angeles County,Accommodation & Food Services
Iowa,"10 Roads Express LLC, 10 Roads Service, LLC, 10 Roads Logistics, LLC",Lake,42,2025-12-01 00:00:00,2026-01-30 00:00:00,closure,temporary,Iowa Plains,Pottawattamie,Transportation & Warehousing
Oregon,Nordstrom Rack Portland,Portland,37,2025-12-01 00:00:00,2026-01-31 00:00:00,layoff,temporary,Northern,Portland County,Retail Trade
Iowa,"DRT, LLC",Lake,26,2025-12-01 00:00:00,2026-01-30 00:00:00,closure,temporary,Iowa Plains,Pottawattamie,Admin & Support Services
Nebraska,Fortrex 0127 Lexington,Lexington,139,2025-11-26 00:00:00,2026-01-20 00:00:00,layoff,permanent,Northern,Lexington County,Manufacturing
California,Panasonic Well LLC,Hillview,46,2025-11-26 00:00:00,2026-01-31 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
Georgia,Urology Center of Columbus,Columbus,32,2025-11-26 00:00:00,2025-12-05 00:00:00,closure,temporary,Northern,Muscogee,Healthcare & Social Assistance
Hawaii,Zetton Inc. dba Camado Ramen Tavern,Honolulu,14,2025-11-26 00:00:00,2026-01-31 00:00:00,closure,permanent,Northern,Honolulu County,Accommodation & Food Services
California,"Shake Shack Enterprises, LLC",Market,26,2025-11-25 00:00:00,2025-12-18 00:00:00,closure,temporary,Northern,San Francisco County,Accommodation & Food Services
Iowa,Wells Fargo,Moines,14,2025-11-25 00:00:00,2026-01-23 00:00:00,other,temporary,Central Iowa,Polk,Finance & Insurance
Iowa,"Superior Tube Products, Inc",Davenport,2,2025-11-25 00:00:00,2025-11-26 00:00:00,other,temporary,Mississippi Valley,Scott,Manufacturing
Maryland,Kroger Fulfillment Network LLC,Frederick,83,2025-11-24 00:00:00,2026-02-01 00:00:00,closure,temporary,Frederick,Frederick County,Transportation & Warehousing
Florida,"Sodexo, Inc. and Affiliates Miami Jewish Health",Miami,163,2025-11-22 00:00:00,2026-02-28 00:00:00,closure,permanent,Northern,Miami County,Admin & Support Services
Nebraska,Tyson - Lexington,Lexington,3212,2025-11-21 00:00:00,2026-01-20 00:00:00,layoff,permanent,Northern,Lexington County,Food Manufacturing
Ohio,"American Signature, Inc dba Value City Furniture",Columbus,256,2025-11-21 00:00:00,2026-01-20 00:00:00,closure,permanent,Southern 8,Franklin,Retail Trade
Washington,Verizon,Various,165,2025-11-21 00:00:00,2026-01-23 00:00:00,layoff,permanent,Northern,King,Information
California,Verizon,Sand Canyon,139,2025-11-21 00:00:00,2026-01-23 00:00:00,layoff,temporary,Northern,Orange County,Information
California,"Zimeno, Inc. dba Monarch Tractor (Lawrence)",Lawrence,89,2025-11-21 00:00:00,2025-11-19 00:00:00,layoff,temporary,Northern,Alameda County,Manufacturing
California,University of Southern California,Trousdale,60,2025-11-21 00:00:00,2025-12-29 00:00:00,layoff,temporary,Northern,Los Angeles County,Education
Washington,Providence Health & Services,Various,57,2025-11-21 00:00:00,2026-01-20 00:00:00,layoff,permanent,Northern,King,Healthcare
California,Verizon,Shadelands,54,2025-11-21 00:00:00,2026-01-23 00:00:00,layoff,temporary,Northern,Contra Costa County,Information
California,"Van Law Food Products, Inc.",Moore,50,2025-11-21 00:00:00,2026-01-23 00:00:00,layoff,temporary,Northern,Orange County,Manufacturing
California,Henkel Corporation,Port Chicago,13,2025-11-21 00:00:00,2026-01-30 00:00:00,closure,temporary,Northern,Contra Costa County,Wholesale Trade
California,"Zimeno, Inc. dba Monarch Tractor",Tesla,8,2025-11-21 00:00:00,2025-11-19 00:00:00,layoff,temporary,Northern,Alameda County,Manufacturing
California,"Illumina, Inc.",Illumina,7,2025-11-21 00:00:00,2026-01-19 00:00:00,layoff,temporary,Northern,San Diego County,Professional Services
California,Henkel Corporation,Industrial,7,2025-11-21 00:00:00,2026-04-30 00:00:00,closure,temporary,Northern,Solano County,Wholesale Trade
South Carolina,"Best Dressed Chicken, Inc.",Ward,4,2025-11-21 00:00:00,2026-01-20 00:00:00,layoff,permanent,Northern,Saluda,Manufacturing
Michigan,General Motors: Factory ZERO Detroit - Hamtramck Assembly Center,Detroit,1140,2025-11-20 00:00:00,2026-01-05 00:00:00,layoff,permanent,Northern,Wayne,Information
California,"The French Gourmet, Inc.",Turquoise,102,2025-11-20 00:00:00,2026-01-01 00:00:00,closure,temporary,Northern,San Diego County,Accommodation & Food Services
California,Galleher LLC,Greenleaf,86,2025-11-20 00:00:00,2026-01-20 00:00:00,closure,temporary,Northern,Los Angeles County,Wholesale Trade
Florida,Invincible Boat Company,Locka,80,2025-11-20 00:00:00,2026-01-20 00:00:00,layoff,permanent,Northern,Locka County,Manufacturing
California,Building Materials Manufacturing LLC (a/k/a GAF),Zerker,69,2025-11-20 00:00:00,2026-01-24 00:00:00,closure,temporary,Northern,Kern County,Wholesale Trade
Illinois,Essendant,Greenville,44,2025-11-20 00:00:00,2026-01-19 00:00:00,closure,permanent,Southwestern 9,Bond,Other Services
Colorado,Nordstrom Credit Bank,Louisville,14,2025-11-20 00:00:00,2025-11-20 00:00:00,layoff,temporary,Arapahoe/Douglas,nan County,Finance & Insurance
California,"CRST Expedited, Inc.",Rd Compton,12,2025-11-20 00:00:00,2026-01-19 00:00:00,closure,temporary,Northern,Los Angeles County,Transportation & Warehousing
Washington,Nordstrom Credit Bank,Remote,6,2025-11-20 00:00:00,2026-03-01 00:00:00,layoff,permanent,Statewide,Remote County,Finance & Insurance
Washington,Nordstrom Credit Bank,Remote,2,2025-11-20 00:00:00,2026-02-01 00:00:00,layoff,permanent,Statewide,Remote County,Finance & Insurance
Maryland,Fulfillment Center (for Harris Teeter),Frederick,80,2025-11-19 00:00:00,2026-02-01 00:00:00,closure,temporary,Frederick,Frederick County,Transportation & Warehousing
California,"McDonald's Restaurants of California, Inc.",Floral,80,2025-11-19 00:00:00,2026-01-26 00:00:00,closure,temporary,Northern,Los Angeles County,Accommodation & Food Services
Michigan,United Parcel Services (UPS),Wyoming,67,2025-11-19 00:00:00,2026-01-20 00:00:00,layoff,permanent,Northern,Kent,Professional Services
California,Lumileds LLC,San Jose,60,2025-11-19 00:00:00,2026-01-30 00:00:00,layoff,temporary,Northern,Santa Clara County,Manufacturing
Nevada,Run Walk 1 LLC dba Walk Ons Sports Bistreaux,Vegas,35,2025-11-19 00:00:00,2025-11-05 00:00:00,closure,temporary,Bluegrass,Clark,Professional Services
Nevada,Trump International Hotel Las Vegas,Vegas,12,2025-11-19 00:00:00,2025-09-05 00:00:00,layoff,temporary,Bluegrass,Clark,Accommodation & Food Services
Ohio,Phoenix Technologies,Green,7,2025-11-19 00:00:00,2025-11-20 00:00:00,closure,permanent,Northern,Wood,Information
Missouri,Hollister,Kirksville,7,2025-11-19 00:00:00,2025-11-19 00:00:00,closure,temporary,Northeast,Adair,Healthcare & Social Assistance
California,Blue Shield of California (Rancho Cordova),Zinfandel,5,2025-11-19 00:00:00,2026-01-27 00:00:00,layoff,temporary,Northern,Sacramento County,Finance & Insurance
Ohio,Nordstrom Credit Operations,Pickerington,1,2025-11-19 00:00:00,2026-02-01 00:00:00,closure,permanent,Northern,Fairfield,Finance & Insurance
Florida,Nordstrom,Clearwater,1,2025-11-19 00:00:00,2025-11-19 00:00:00,layoff,permanent,Northern,Clearwater County,Finance & Insurance
Florida,Nordstrom,Petersburg,1,2025-11-19 00:00:00,2025-11-19 00:00:00,layoff,permanent,Northern,Petersburg County,Finance & Insurance
Florida,Nordstrom,Gorda,1,2025-11-19 00:00:00,2025-11-19 00:00:00,layoff,permanent,Northern,Gorda County,Finance & Insurance
Florida,Nordstrom,Orlando,1,2025-11-19 00:00:00,2025-11-19 00:00:00,layoff,permanent,Northern,Orlando County,Finance & Insurance
Oregon,Nordstrom,Remote,1,2025-11-19 00:00:00,2026-02-01 00:00:00,layoff,temporary,Statewide,Remote County,Retail Trade
Wisconsin,Nordstrom,Remote,1,2025-11-19 00:00:00,2026-03-01 00:00:00,other,temporary,Statewide,Remote County,Finance & Insurance
California,Blue Shield of California (Woodland Hills),Canoga,1,2025-11-19 00:00:00,2026-01-27 00:00:00,layoff,temporary,Northern,Los Angeles County,Finance & Insurance
California,Blue Shield of California (San Diego),Del Rio,1,2025-11-19 00:00:00,2026-01-27 00:00:00,layoff,temporary,Northern,San Diego County,Finance & Insurance
Missouri,Nordstrom Credit Operations/Nordstrom Credit Bank,Remote,1,2025-11-19 00:00:00,2025-11-19 00:00:00,layoff,temporary,Northern,Statewide,Other Services
Florida,Kroger Fulfillment Network LLC Kroger Delivery Groveland Fulfillment Center,Groveland,935,2025-11-18 00:00:00,2026-02-01 00:00:00,closure,permanent,Northern,Groveland County,Transportation & Warehousing
Florida,CNO Financial Group,Orlando,247,2025-11-18 00:00:00,2025-11-18 00:00:00,closure,permanent,Northern,Orlando County,Finance & Insurance
Florida,Kroger Fulfillment Network LLC Kroger Tampa Fulfillment Center,Tampa,234,2025-11-18 00:00:00,2026-02-01 00:00:00,closure,permanent,Northern,Tampa County,Transportation & Warehousing
Wisconsin,"Kroger Fulfillment Network, LLC",Prairie,211,2025-11-18 00:00:00,2026-02-01 00:00:00,closure,temporary,Southeast,Kenosha,Other Services
Florida,Kroger Fulfillment Network LLC Kroger Jacksonville Fulfillment Center,Jacksonville,181,2025-11-18 00:00:00,2026-02-01 00:00:00,closure,permanent,Northern,Jacksonville County,Transportation & Warehousing
California,"R.C. Packing, LLC",Alta,161,2025-11-18 00:00:00,2025-11-16 00:00:00,closure,temporary,Northern,Monterey County,Agriculture
Virginia,Harris Teeter,Franconia,91,2025-11-18 00:00:00,2026-02-01 00:00:00,closure,temporary,Northern,Franconia County,Retail Trade
California,"Nationstar Mortgage, LLC d/b/a Mr. Cooper",Commerce Centre,88,2025-11-18 00:00:00,2026-01-16 00:00:00,layoff,temporary,Northern,Orange County,Finance & Insurance
Hawaii,Queen's Medical Center Pathology Operations,Honolulu,78,2025-11-18 00:00:00,2026-01-18 00:00:00,layoff,permanent,Northern,Honolulu County,Healthcare
Washington,Battelle Memorial Institute / Pacific Northwest National Laboratory,Various,68,2025-11-18 00:00:00,2025-11-18 00:00:00,layoff,permanent,Northern,King,"Professional, Scientific, and Technical Services"
Indiana,Kloeckner Metals,Indianapolis,54,2025-11-18 00:00:00,2026-01-20 00:00:00,layoff,temporary,Northern,Indianapolis County,Wholesale Trade
Florida,Kroger Fulfillment Network LLC Cocoa Beach Fulfillment Center,Rockledge,53,2025-11-18 00:00:00,2026-02-01 00:00:00,closure,permanent,Northern,Rockledge County,Transportation & Warehousing
Washington,Meteorcomm LLC,Renton,49,2025-11-18 00:00:00,2026-01-17 00:00:00,layoff,permanent,Northern,Renton County,Professional Services
Florida,Hudson,Orlando,44,2025-11-18 00:00:00,2025-11-18 00:00:00,closure,permanent,Northern,Orlando County,Retail
Iowa,"Superior Tube Products, Inc",Davenport,28,2025-11-18 00:00:00,2025-12-19 00:00:00,closure,temporary,Mississippi Valley,Scott,Manufacturing
California,Corteva Agriscience LLC,Loveridge,4,2025-11-18 00:00:00,2026-02-27 00:00:00,layoff,temporary,Northern,Contra Costa County,Professional Services
Colorado,ColoWyo Coal Company LP (UPDATE),Louisville,0,2025-11-18 00:00:00,2026-01-05 00:00:00,closure,temporary,Rural Consortium,nan County,Mining
California,"Braga Fresh Foods, LLC",Spreckels,260,2025-11-17 00:00:00,2026-01-14 00:00:00,closure,temporary,Northern,Monterey County,Agriculture
Maryland,"BWW Law Group, LLC",Rockville,94,2025-11-17 00:00:00,2026-01-31 00:00:00,closure,temporary,Montgomery County,Rockville County,Professional Services
California,"Mettler-Toledo Rainin, LLC",Edgewater,89,2025-11-17 00:00:00,2026-01-17 00:00:00,layoff,temporary,Northern,Alameda County,Manufacturing
Tennessee,ABC Technologies,Gallatin,85,2025-11-17 00:00:00,2025-11-24 00:00:00,layoff,temporary,Northern,Sumner,Information
Colorado,Nordstrom Credit Bank,Louisville,59,2025-11-17 00:00:00,2025-11-17 00:00:00,layoff,temporary,Arapahoe/Douglas,nan County,Finance & Insurance
Maryland,Bond 45 National Harbor Restaurant,Hill,58,2025-11-17 00:00:00,2026-01-31 00:00:00,closure,temporary,Prince George's,Hill County,Accommodation & Food Services
Nevada,Nordstrom Credit Operations,Remote,43,2025-11-17 00:00:00,2026-02-21 00:00:00,layoff,temporary,Northern,Remote,Finance & Insurance
California,"HRL Laboratories, Malibu Campus",Malibu Canyon,34,2025-11-17 00:00:00,2026-01-16 00:00:00,layoff,temporary,Northern,Los Angeles County,Professional Services
California,"HRL Laboratories, Westlake Campus",Willow,10,2025-11-17 00:00:00,2026-01-16 00:00:00,layoff,temporary,Northern,Ventura County,Professional Services
California,HRL Laboratories (Remote Employees),Remote Malibu,7,2025-11-17 00:00:00,2026-01-16 00:00:00,layoff,temporary,Northern,Los Angeles County,Professional Services
California,"HRL Laboratories, Lost Hills Campus",Agoura,4,2025-11-17 00:00:00,2026-01-16 00:00:00,layoff,temporary,Northern,Los Angeles County,Professional Services
California,"HRL Laboratories, Camarillo Campus",Plano Camarillo,3,2025-11-17 00:00:00,2026-01-16 00:00:00,layoff,temporary,Northern,Ventura County,Professional Services
Washington,Nordstrom Credit Bank,Remote,1,2025-11-17 00:00:00,2026-02-21 00:00:00,layoff,permanent,Statewide,Remote County,Finance & Insurance
Florida,"Fanatics, LLC",Riverview,286,2025-11-14 00:00:00,2025-11-14 00:00:00,closure,permanent,Northern,Riverview County,Retail
Virginia,Amazon-BWI1,Sterling,247,2025-11-14 00:00:00,2026-01-30 00:00:00,closure,temporary,Northern,Sterling County,Transportation & Warehousing
Michigan,Oakland Stamping LLC dba Autokiniton,Detroit,165,2025-11-14 00:00:00,2025-12-05 00:00:00,closure,permanent,Northern,Wayne,Professional Services
Tennessee,Edgewell Personal Care,Knoxville,132,2025-11-14 00:00:00,2026-06-01 00:00:00,closure,permanent,West Central 10,Knox,Healthcare
California,International Paper,Susana Compton,128,2025-11-14 00:00:00,2026-01-14 00:00:00,closure,temporary,Northern,Los Angeles County,Manufacturing
Colorado,Smokin Bear LLC,Louisville,125,2025-11-14 00:00:00,2026-01-13 00:00:00,other,temporary,Denver,nan County,Accommodation & Food Services
California,Middlebury Institute of International Studies at Monterey,Pierce,123,2025-11-14 00:00:00,2026-01-16 00:00:00,closure,temporary,Northern,Monterey County,Education
Georgia,"SDH Service East,LLC",Savannah,120,2025-11-14 00:00:00,2026-01-31 00:00:00,layoff,temporary,Northern,Chatham,Professional Services
California,GUESS?,Alameda,100,2025-11-14 00:00:00,2025-12-08 00:00:00,layoff,temporary,Northern,Los Angeles County,Manufacturing
Kentucky,International Paper,Louisville,93,2025-11-14 00:00:00,2026-01-15 00:00:00,closure,temporary,Kentuckiana Works,Jefferson,Manufacturing
Alabama,Regional Medical Center of Central Alabama,Greenville,90,2025-11-14 00:00:00,2026-01-12 00:00:00,layoff,temporary,Northern,Greenville County,Healthcare
Illinois,"PharmaCann, Inc.",Dwight,82,2025-11-14 00:00:00,2026-01-13 00:00:00,closure,permanent,North Central 3,Livingston,Admin & Support Services
Iowa,"Networking Imaging Solutions, LLC",Liberty,70,2025-11-14 00:00:00,2025-12-18 00:00:00,closure,temporary,East Central Iowa,Johnson,Manufacturing
Iowa,"Networking Imaging Solutions, LLC",Liberty,70,2025-11-14 00:00:00,2025-12-18 00:00:00,closure,temporary,East Central Iowa,Johnson,Manufacturing
California,"Lakeshore Learning Materials, LLC (2161)",Dominguez,69,2025-11-14 00:00:00,2026-01-12 00:00:00,closure,temporary,Northern,Los Angeles County,Education
Georgia,"SDH Service East,LLC",Augusta,67,2025-11-14 00:00:00,2026-01-31 00:00:00,layoff,temporary,Northern,Richmond,Professional Services
California,SLO Brewing Co. LLC,Luis Obispo,61,2025-11-14 00:00:00,2026-01-13 00:00:00,layoff,temporary,Northern,San Luis Obispo County,Accommodation & Food Services
Maryland,Shoppers Food Warehouse Corp.,Germantown,59,2025-11-14 00:00:00,2025-11-08 00:00:00,closure,temporary,Montgomery County,Germantown County,Wholesale Trade
Maryland,Shoppers Food Warehouse Corp.,Park,58,2025-11-14 00:00:00,2025-11-08 00:00:00,closure,temporary,Prince George's,Park County,Wholesale Trade
California,"Lakeshore Learning Materials, LLC (2649)",Dominguez,48,2025-11-14 00:00:00,2026-01-12 00:00:00,closure,temporary,Northern,Los Angeles County,Education
Maryland,Shoppers Food Warehouse Corp.,Laurel,46,2025-11-14 00:00:00,2025-11-08 00:00:00,closure,temporary,Prince George's,Laurel County,Wholesale Trade
Maryland,Shoppers Food Warehouse Corp.,Heights,22,2025-11-14 00:00:00,2025-11-08 00:00:00,closure,temporary,Prince George's,Heights County,Wholesale Trade
Washington,"The Skillet Group / Skillet Street Food, Inc. DBA Skillet Diner Harbor Steps",Seattle,20,2025-11-14 00:00:00,2025-11-12 00:00:00,closure,permanent,Northern,Seattle County,Accommodation & Food Services
Washington,"The Skillet Group / Skillet Diner, LLC",Seattle,18,2025-11-14 00:00:00,2025-11-12 00:00:00,closure,permanent,Northern,Seattle County,Professional Services
Washington,"The Skillet Group / Skillet SA, LLC",Seattle,9,2025-11-14 00:00:00,2025-12-12 00:00:00,closure,permanent,Northern,Seattle County,Professional Services
California,"Illumina, Inc. Worldwide Headquarters",Illumina,8,2025-11-14 00:00:00,2025-11-11 00:00:00,layoff,temporary,Northern,San Diego County,Professional Services
Connecticut,PosiGen Developer LLC,Shelton,85,2025-11-14 00:00:00,2025-11-14 00:00:00,closure,permanent,Northern,Shelton County,Professional Services
Oregon,Intel Corporation,Hillsboro,669,2025-11-13 00:00:00,2025-09-16 00:00:00,layoff,temporary,Northern,Hillsboro County,Manufacturing
Connecticut,Edgewell Personal Care/Schick,Milford,293,2025-11-13 00:00:00,2025-11-13 00:00:00,closure,permanent,Northern,Milford County,Healthcare
Indiana,MDWise,Indianapolis,238,2025-11-13 00:00:00,2026-01-16 00:00:00,closure,temporary,Northern,Indianapolis County,Finance & Insurance
Wisconsin,Superior YMCA,Superior,112,2025-11-13 00:00:00,2025-12-31 00:00:00,other,temporary,Northwest,Douglas,Other Services
Washington,"Solgen Power, LLC, d/b/a Purelight Power",Various,104,2025-11-13 00:00:00,2025-11-13 00:00:00,closure,permanent,Northern,King,Professional Services
California,NBCUniversal (Bldgs. 1126 and 1440),Universal City,101,2025-11-13 00:00:00,2025-11-28 00:00:00,layoff,temporary,Northern,Los Angeles County,Information
California,"Mattel, Inc.",Continental,89,2025-11-13 00:00:00,2026-01-12 00:00:00,layoff,temporary,Northern,Los Angeles County,Information
Washington,Great Floors (Artisan Designer Group),Various,58,2025-11-13 00:00:00,2026-01-12 00:00:00,closure,permanent,Northern,King,Manufacturing
California,AbbVie,Gleason,48,2025-11-13 00:00:00,2026-01-09 00:00:00,closure,temporary,Northern,Alameda County,Professional Services
California,"Couchbase, Inc.",Olsen,48,2025-11-13 00:00:00,2026-01-12 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,"NBCUniversal (Bldgs. 1280, 1320, 1360, and 4250)",Universal City,32,2025-11-13 00:00:00,2025-11-28 00:00:00,layoff,temporary,Northern,Los Angeles County,Information
California,"National Distribution Centers, LLC (NDC)",Grand,17,2025-11-13 00:00:00,2025-12-22 00:00:00,layoff,temporary,Northern,Los Angeles County,Transportation & Warehousing
California,AbbVie,Las Positas,9,2025-11-13 00:00:00,2026-01-09 00:00:00,closure,temporary,Northern,Alameda County,Professional Services
California,NBCUniversal (Bldg. 2375),Universal City,4,2025-11-13 00:00:00,2025-11-28 00:00:00,layoff,temporary,Northern,Los Angeles County,Information
California,AbbVie,Rosewood,2,2025-11-13 00:00:00,2026-01-09 00:00:00,closure,temporary,Northern,Alameda County,Professional Services
Missouri,Home Care Delivered,Remote,1,2025-11-13 00:00:00,2025-12-10 00:00:00,layoff,temporary,Northern,Statewide,Healthcare & Social Assistance
California,"Synopsys, Inc.",Almanor,172,2025-11-12 00:00:00,2026-01-12 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
Illinois,"Printpack, Inc.",Elgin,111,2025-11-12 00:00:00,2026-01-05 00:00:00,closure,permanent,Northeast 4,Kane,Manufacturing
Nevada,Diamond Plastics CO. ,Golconda,21,2025-11-12 00:00:00,2025-11-12 00:00:00,layoff,temporary,Northern,Humbolt,Manufacturing
California,"Gilead Sciences, Inc.",Ocean Ranch,17,2025-11-12 00:00:00,2026-01-16 00:00:00,layoff,temporary,Northern,San Diego County,Professional Services
California,"Synopsys, Inc.",Mary,1,2025-11-12 00:00:00,2026-01-12 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,"Synopsys, Inc.",Mary,1,2025-11-12 00:00:00,2026-01-12 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,"Synopsys, Inc.",Palomar,1,2025-11-12 00:00:00,2026-01-12 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
Florida,"Bechtel National, Inc.",Island,60,2025-11-11 00:00:00,2025-11-11 00:00:00,layoff,permanent,Northern,Island County,Professional Services
Iowa,"RELCO, a Wabtec Company",Rapids,34,2025-11-11 00:00:00,2025-12-31 00:00:00,closure,temporary,East Central Iowa,Linn,Manufacturing
Michigan,Inline Plastics,Gladwin,25,2025-11-11 00:00:00,2026-01-11 00:00:00,closure,permanent,Northern,Gladwin,Manufacturing
Georgia,CoStar Group,Atlanta,3,2025-11-11 00:00:00,2026-01-12 00:00:00,layoff,temporary,Northern,Fulton,Information
Missouri,St. Louis Dispatch,Heights,3,2025-11-11 00:00:00,2026-02-28 00:00:00,closure,temporary,St. Louis,St. Louis,Other Services
Georgia,General Motors LLC,Roswell,325,2025-11-10 00:00:00,2025-12-12 00:00:00,closure,temporary,Northern,Fulton,Professional Services
Georgia,"Baker & Taylor, LLC",Commerce,289,2025-11-10 00:00:00,2025-10-06 00:00:00,closure,temporary,Kansas City,Jackson,Professional Services
Maryland,"Diamond Transportation Services, Inc.",Heights,194,2025-11-10 00:00:00,2025-11-30 00:00:00,layoff,temporary,Prince George's,Heights County,Transportation & Warehousing
Maryland,"Diamond Transportation Services, Inc.",Landover,182,2025-11-10 00:00:00,2025-11-30 00:00:00,layoff,temporary,Southern Maryland,Landover County,Transportation & Warehousing
California,Paramount Skydance Corporation (Melrose),Melrose,116,2025-11-10 00:00:00,2025-10-29 00:00:00,layoff,temporary,Northern,Los Angeles County,"Arts, Entertainment & Recreation"
Michigan,The Taubman Company LLC,Hills,105,2025-11-10 00:00:00,2026-01-09 00:00:00,closure,permanent,Northern,Oakland,Professional Services
